,KillDiff,FirstBlood,AssistDiff,GoldDiff,Dragon,Herald,ExperienceDiff,TowersDestroyed,MinionDiff,win
7454,-1,1,4,13.85,1,0,-8.27,1,8,0
7455,4,1,4,29.56,0,0,21.4,0,49,1
7456,-3,0,1,-5.83,0,0,3.6,0,-5,0
7457,4,1,3,28.45,0,0,21.64,0,9,0
7458,-7,0,-2,-50.1,0,0,-45.09,0,-65,0
7459,-2,0,-3,-8.77,1,0,-8.13,0,-16,1
7460,4,1,6,3.65,1,0,-7.19,0,-32,1
7461,1,0,2,2.78,0,0,-3.43,0,11,0
7462,-1,0,-2,12.91,1,0,21.16,0,59,1
7463,2,1,3,25.18,1,0,23.82,0,47,1
7464,4,0,2,3.64,0,0,17.05,0,-10,0
7465,-1,1,1,2.06,1,0,-4.6,0,7,0
7466,-7,1,-10,-52.21,0,0,-42.2,0,-60,0
7467,-1,0,-4,1.51,0,1,8.06,0,-13,1
7468,1,1,-1,7.82,1,0,16.42,0,20,1
7469,-6,0,-12,-23.66,0,1,-3.4,0,9,0
7470,0,0,2,3.86,1,0,-2.0,0,30,0
7471,-5,0,-3,-35.59,0,0,-33.2,0,-33,0
7472,0,1,-4,-9.0,0,1,14.75,0,34,1
7473,1,0,0,6.06,0,1,8.2,0,18,0
7474,5,1,6,29.39,1,0,9.93,0,-2,0
7475,1,0,0,12.16,1,0,28.89,0,32,1
7476,6,1,5,24.88,1,0,24.53,0,15,0
7478,-7,0,-7,-32.46,1,0,-19.8,0,-20,0
7479,2,1,1,5.72,0,0,-2.33,0,-34,0
7480,5,0,8,12.6,1,0,11.41,0,-18,1
7481,1,1,1,5.28,1,0,-8.05,0,27,1
7482,0,1,6,-2.06,1,1,-3.63,0,-13,1
7483,0,0,2,3.75,1,0,-5.66,0,20,1
7484,0,1,-1,3.06,1,1,-9.36,0,28,1
7486,5,1,6,27.02,1,0,10.47,1,13,1
7487,-3,1,-2,-19.38,0,0,-11.73,0,-13,0
7488,2,1,2,10.51,1,0,7.97,0,-7,1
7489,-2,0,-3,-6.2,0,0,-1.47,0,0,1
7490,2,1,5,9.87,0,0,-3.77,0,18,0
7491,-2,0,-8,-4.37,0,0,-12.84,0,12,1
7492,-4,0,-5,-20.31,0,1,-25.4,0,-10,0
7493,-4,0,1,-19.32,0,0,-9.3,0,-10,0
7494,-4,1,-2,-26.26,0,0,-19.92,0,-53,0
7495,-2,0,-10,-26.31,1,0,-13.58,0,-10,1
7496,3,1,-4,18.99,1,1,26.9,0,20,1
7497,-4,1,-5,-26.07,1,0,-21.25,0,-14,1
7498,0,0,-2,-6.76,1,0,-8.64,0,-9,0
7499,4,1,1,19.68,1,1,19.23,0,17,0
7500,-7,0,-11,-40.35,0,0,-26.39,0,-28,0
7501,-4,0,0,-23.49,0,0,-26.78,0,-19,0
7502,-5,0,-4,-31.75,0,0,-18.45,0,-6,0
7503,5,1,3,24.5,1,1,22.33,0,26,1
7504,6,1,6,13.73,1,1,17.66,0,2,1
7505,0,1,-1,15.04,1,1,20.57,0,66,1
